MGLU3,Magazine Luiza,112.446.800,3,05,+1,67%
HAPV3,Hapvida,93.465.900,4,49,-3,02%
VIIA3,Via,54.369.700,1,68,+0,00%
PETR4,Petrobras,41.889.800,30,21,-0,69%
ITSA4,Itaúsa,36.309.700,9,23,-1,49%
ITUB4,Itaú Unibanco,32.706.900,26,85,-0,41%
LREN3,Lojas Renner,22.859.700,17,11,-1,44%
CIEL3,Cielo,22.533.100,3,81,-1,04%
ASAI3,Assaí,19.841.000,13,09,-2,53%
PETZ3,Petz,19.434.600,5,44,+2,45%
COGN3,Cogna,18.891.500,3,08,-1,28%
CMIG4,CEMIG,18.771.300,12,21,+1,67%
ABEV3,Ambev,18.726.000,14,31,-0,35%
CVCB3,CVC,18.706.600,2,50,-2,72%
BBDC4,Banco Bradesco,18.619.600,15,08,-0,72%
BRFS3,BRF,17.815.200,9,93,-2,65%
VALE3,Vale,17.603.100,61,20,-0,03%
B3SA3,B3,16.734.600,13,48,-1,32%
GOLL4,GOL,15.030.300,7,61,-2,44%
MRFG3,Marfrig,14.091.700,7,10,-3,40%
NTCO3,Natura,13.736.400,15,87,-2,28%
HBSA3,Hidrovias do Brasil,13.139.400,4,20,+2,19%
RAIZ4,Raízen,12.245.200,3,50,-2,51%
SOMA3,Grupo Soma,11.303.000,8,62,-2,82%
EQTL3,Equatorial Energia,11.293.400,31,65,-0,78%
CPLE6,Copel,10.996.400,8,66,-0,92%
USIM5,Usiminas,10.742.600,6,88,+0,44%
GGBR4,Gerdau,10.688.600,24,92,-0,60%
PETR3,Petrobras,9.973.500,33,06,-0,96%
RAIL3,Rumo,9.905.900,22,11,-0,72%
JBSS3,JBS,9.629.000,18,69,-2,71%
MRVE3,MRV,9.431.000,12,48,-1,81%
LWSA3,Locaweb,9.423.700,6,77,+0,59%
GOAU4,Metalúrgica Gerdau,9.274.800,11,62,-1,02%
BEEF3,Minerva,8.895.400,10,57,-0,84%
ALPA4,Alpargatas,8.721.400,9,10,-2,57%
AMER3,Americanas,8.668.400,1,01,-1,94%
AZUL4,Azul,8.132.100,15,69,-1,38%
SEQL3,Sequoia Logística,7.933.700,0,86,+2,38%
ANIM3,Ânima Educação,7.863.100,3,84,-1,29%
BBAS3,Banco do Brasil,7.833.000,46,91,-0,36%
PRIO3,PetroRio,7.557.800,44,75,-0,93%
GGPS3,GPS,7.504.800,17,81,+3,43%
ELET3,Eletrobras,7.244.400,33,87,-2,25%
ZAMP3,Zamp,6.880.400,4,17,-0,71%
CPLE3,Copel,6.726.900,8,22,-1,08%
AERI3,Aeris Energy,6.553.600,1,03,-1,90%
VBBR3,Vibra Energia,6.512.500,17,60,-1,29%
OIBR3,Oi,6.505.300,0,80,+1,27%
GFSA3,Gafisa,6.142.200,5,67,+14,31%
CMIN3,CSN Mineração,6.137.300,4,06,+0,00%
RDOR3,Rede D'Or,5.761.200,29,98,+0,81%
IFCM3,Infracommerce,5.525.600,1,78,-4,81%
ALSO3,Aliansce Sonae,5.497.300,22,90,-1,80%
CYRE3,Cyrela,5.410.700,23,45,-1,05%
RENT3,Localiza,5.375.500,62,50,-0,75%
CSAN3,Cosan,5.356.100,17,93,-0,44%
POMO4,Marcopolo,5.206.300,5,84,-1,68%
EMBR3,Embraer,5.139.900,18,73,+0,21%
MLAS3,Multilaser,5.013.800,3,39,-8,63%
WEGE3,WEG,4.858.900,36,04,-0,61%
GMAT3,Grupo Mateus,4.825.300,7,25,-1,49%
ENEV3,Eneva,4.778.700,12,36,-3,13%
RADL3,RaiaDrogasil,4.711.200,26,69,-0,04%
RCSL4,Recrusul,4.618.900,1,46,+0,00%
QUAL3,Qualicorp,4.603.100,3,68,-4,17%
CBAV3,CBA,4.582.000,4,15,-2,12%
JHSF3,JHSF,4.540.200,4,83,+1,05%
CSNA3,Siderúrgica Nacional,4.359.300,12,16,-0,49%
MULT3,Multiplan,4.297.300,26,04,-1,85%
CXSE3,Caixa Seguridade,4.234.600,10,45,-0,29%
CRFB3,Carrefour Brasil,4.124.900,11,36,-4,14%
MOVI3,Movida,4.111.500,12,83,-2,88%
CCRO3,Grupo CCR,4.076.300,12,68,-0,86%
UGPA3,Ultrapar,4.037.100,18,25,-0,27%
BBSE3,BB Seguridade,4.026.900,29,89,+0,03%
TIMS3,TIM,3.975.900,14,55,-2,35%
BBDC3,Banco Bradesco,3.917.200,13,31,-0,52%
VAMO3,Grupo Vamos,3.910.500,11,47,-1,12%
CSMG3,COPASA,3.850.700,19,09,+3,58%
IRBR3,IRB Brasil RE,3.847.700,39,70,-9,24%
ECOR3,EcoRodovias,3.679.500,7,68,-0,90%
AZEV4,Azevedo & Travassos,3.558.200,3,26,+10,51%
YDUQ3,YDUQS,3.524.100,21,32,-5,03%
CEAB3,C&A,3.439.500,5,99,-3,85%
BPAN4,Banco Pan,3.287.300,8,25,-1,55%
RECV3,PetroRecôncavo,3.232.700,22,76,-0,26%
PCAR3,Grupo Pão de Açúcar,3.158.300,19,75,-0,15%
PSSA3,Porto Seguro,3.085.600,26,60,-3,34%
DXCO3,Dexco,3.038.900,8,16,-1,69%
TOTS3,Totvs,2.964.800,27,63,-1,04%
TEND3,Construtora Tenda,2.964.200,12,07,-1,71%
STBP3,Santos Brasil,2.937.900,9,05,-0,98%
FLRY3,Fleury,2.908.300,15,31,+0,86%
RRRP3,3R Petroleum,2.872.700,31,59,-0,50%
SMFT3,Smart Fit,2.693.700,21,95,+2,09%
ITUB3,Itaú Unibanco,2.639.200,23,13,-1,24%
SUZB3,Suzano,2.601.300,50,08,-1,18%
BRKM5,Braskem,2.545.300,22,34,-2,91%
ESPA3,Espaçolaser,2.485.800,1,46,+0,69%
AMAR3,Lojas Marisa,2.429.300,0,77,-1,28%
RCSL3,Recrusul,2.338.900,2,03,+8,56%
CASH3,Méliuz,2.309.400,7,33,-0,68%
AURE3,VTRM ENERGIA PARTICIPAÃiES S.A.,2.109.700,13,56,-0,29%
SAPR4,Sanepar,2.088.600,4,47,-0,45%
ONCO3,Oncoclínicas,2.087.600,11,27,-1,14%
KEPL3,Kepler Weber,2.065.400,10,76,+1,22%
ARZZ3,Arezzo,2.014.300,76,53,-3,26%
LJQQ3,Lojas Quero-Quero,1.978.400,5,21,-1,88%
CAML3,Camil Alimentos,1.944.700,7,86,+0,77%
AZEV3,Azevedo & Travassos,1.935.900,3,19,+9,62%
ELET6,Eletrobras,1.926.200,37,40,-1,94%
KLBN4,Klabin,1.909.900,4,45,-1,33%
BRAP4,Bradespar,1.898.700,21,33,+0,09%
TRPL4,Transmissão Paulista,1.878.400,25,05,-0,63%
SBFG3,Grupo SBF,1.865.800,8,94,-0,78%
RAPT4,Randon,1.862.700,12,14,-1,46%
VIVT3,Vivo,1.846.100,42,03,-1,41%
SEER3,Ser Educacional,1.839.000,6,30,+3,45%
